Name	Set	ImageFile	Rarity	Type	Keywords	Allegiance	Cost	Asset	Attack	Armor	Structure	Speed	Mass	Armaments	Text
Advanced Manufacturing Techniques	Arsenal	AR001	Common	Command	Resource		1			3	3				{T}: {R} {T}: Add two construction counters to a card under construction that has at least five construction counters on it, or three construction counters to a card that has at least eight construction counters on it. Use this ability only during your Deploy phase. Logistics (If you have Logistics in play, you may restock a card from your hand at the end of your turn.)
Airdropped Supplies	Arsenal	AR002	Rare	Command			1+2P		0	2	6				{R}, {T}: Add a supply counter to Airdropped Supplies. Use this ability only during your Deploy phase. {T}: Remove a supply counter from Airdropped Supplies to choose a 'Mech you control and roll a die: 1-2: Restock Airdropped Supplies. 3-6: Untap that 'Mech. Use this ability only during your Missions phase but not during a mission.
Bandersnatch (BNDR-01A)	Arsenal	AR003	Uncommon	Unit		Inner Sphere	5+3L+2M		4	2	7	Slow	75 tons	6 Med Lasers, 15 LRMs, 2 AC/10s	Missile 1 Alpha Strike: +2 attack
Battle Armor Squad	Arsenal	AR004	Common	Unit		Inner Sphere	1+2L		1	0	3	Slow			Battle Armor (Activates, attacks, guards, and blocks like a 'Mech, and cannot attack or block alone.) AP (Battle Armor Squad deals +1 damage to any target other than a 'Mech.) Attacks or blocks at the speed of the fastest Omni Mech in the group accompanying it, if any. You may deploy Battle Armor Squad revealed to make an additional deployment this turn. (Errata on speed)
Behemoth (Flamer Variant)	Arsenal	AR005	Uncommon	Unit		Davion - Steiner	4+2L+1M		3	3	7	Slow	100 tons	20 LRMs, 12 SRMs, 2 AC/10s	Missile 1 Alpha Strike: +2 attack Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) AP (Behemoth deals +1 damage to any target other than a 'Mech.) Behemoth cannot block unless guarding.
Berserk Elemental Point	Arsenal	AR006	Uncommon	Unit		Clan	3+3L		3	0	4	Slow			Battle Armor (Activates, attacks, guards, and blocks like a 'Mech, and cannot attack or block alone.) Jump (-1 attack: +1 initiative) AP (Berserk Elemental Point deals +1 damage to any target other than a 'Mech.) Attacks or blocks at the speed of the fastest Omni Mech in the group accompanying it, if any. Choose an engaged 'Mech. If that 'Mech takes structure damage later in the battle, scrap it and Berserk Elemental Point. Use this ability only during battle.
Black Hawk S (Nova)	Arsenal	AR007	Uncommon	Unit	Omni	Clan	9+2A+2T		8	1	7	Moderate	50 tons	6 Med Lasers	Jump (-1 attack: +1 initiative) Anti-missile (Each missile assigned to a 'Mech in a group that includes Black Hawk S deals -1 damage.) AP (Black Hawk S deals +1 damage to any target other than a 'Mech.)
Black Lanner A	Arsenal	AR008	Common	Unit	Omni	Jade Falcon	7+3A+3T		5	1	7	Fast	55 tons	PPC, 2 Med Lasers	ECM (Each 'Mech in a group that includes at least one Mech with ECM gets +1 armor.)
Blitzkrieg Elemental Point	Arsenal	AR009	Uncommon	Unit		Clan	1+3L		3	0	4	Slow			Battle Armor (Activates, attacks, guards, and blocks like a 'Mech, and cannot attack or block alone.) Jump (-1 attack: +1 initiative) AP (Blitzkrieg Elemental Point deals +1 damage to any target other than a 'Mech.) Attacks or blocks at the speed of the fastest Omni Mech in the group accompanying it, if any. Blitzkrieg Elemental Point deals an additional 1 damage to each 'Mech blocking or blocked by it. Use this ability only during battle.
Bulldog	Arsenal	AR010	Common	Unit		Inner Sphere	1+1M		3	2	3	Slow	60 tons	Lg Laser, 8 SRMs	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.)
Bulldog (AC2 Variant)	Arsenal	AR011	Common	Unit		Inner Sphere	0+1L+2M		2	2	3	Slow	60 tons	8 SRMs, 2 AC/2s	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) You may deploy Bulldog revealed to gain an additional deployment this turn.
Bulldog (LRM Variant)	Arsenal	AR012	Common	Unit		Inner Sphere	0+2L		1	2	3	Slow	60 tons	20 LRMs, 8 SRMs	Missile 1 Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) You may deploy Bulldog revealed to gain an additional deployment this turn.
